feed_timestamp,entity_id,vehicle_id,route_id,trip_id,trip_start_date,trip_start_time,stop_id,stop_name,dist_to_stop_m,current_stop_sequence,current_status,congestion_level,vehicle_timestamp,lat,lon,speed_mps,bearing,odometer
1768494853,98,3490101812,,,,,,,,,2,,1768491455,44.261512756347656,-76.50648498535156,0.0,,104608.0
1768494853,99,3490100062,,,,,,,,,2,,1768493274,44.25503921508789,-76.56878662109375,1.850000023841858,101.69999694824219,0.0
1768494853,100,3490101923,,,,,,,,,2,,1768494590,44.26120376586914,-76.50692749023438,0.0,,625281.0
1768494853,101,3490100040,,,,,,,,,2,,1768493413,44.227630615234375,-76.49552154541016,7.559999942779541,359.79998779296875,0.0
1768494853,102,3490100044,,,,,,,,,2,,1768493557,44.2203254699707,-76.52651977539062,11.670000076293945,85.19999694824219,0.0
1768494853,103,3490100034,,,,,,,,,2,,1768493632,44.2534065246582,-76.4988021850586,,,0.0
1768494853,104,3490100050,,,,,,,,,2,,1768494820,44.25230026245117,-76.54765319824219,7.199999809265137,142.1999969482422,0.0
1768494853,105,3490100022,,,,,,,,,2,,1768493902,44.256629943847656,-76.54137420654297,5.239999771118164,317.79998779296875,0.0
1768494853,106,3490100078,,,,,,,,,2,,1768494846,44.23408508300781,-76.58843231201172,10.489999771118164,201.60000610351562,0.0
1768494853,107,3490100066,,,,,,,,,2,,1768493963,44.268150329589844,-76.45091247558594,7.760000228881836,126.30000305175781,0.0
1768494853,108,3490100057,,,,,,,,,2,,1768494766,44.23494338989258,-76.48506927490234,7.710000038146973,358.0,0.0
1768494853,109,3490100068,,,,,,,,,2,,1768493370,44.25822830200195,-76.55033111572266,8.529999732971191,271.0,0.0
1768494853,110,3490100059,,,,,,,,,2,,1768494567,44.22258377075195,-76.49974822998047,3.130000114440918,263.1000061035156,0.0
1768494853,111,3490100007,,,,,,,,,2,,1768494772,44.2235221862793,-76.52607727050781,0.0,,0.0
1768494853,112,3490100072,,,,,,,,,2,,1768493083,44.26420593261719,-76.49850463867188,0.0,,0.0
1768494853,113,3490100016,,,,,,,,,2,,1768493409,44.23130798339844,-76.50772857666016,,,0.0
1768494853,114,3490100058,,,,,,,,,2,,1768494291,44.260616302490234,-76.49828338623047,9.979999542236328,174.1999969482422,0.0
1768494853,115,3490100009,,,,,,,,,2,,1768493641,,,,,
1768494883,0,3490101813,2,2181337:567618:568414,20260115,11:00:00,S02035,Downtown Transfer Point Platform 1,5.266941354882244,26,1,1,1768494878,44.23115921020508,-76.48566436767578,0.0,,676862.0
1768494883,1,3490101818,702,2182070:568714:568956,20260115,11:15:00,S09211,324 Palace Road (west side),83.39516217237244,15,2,1,1768494874,44.23469924926758,-76.51394653320312,12.220000267028809,177.10000610351562,2101792.0
1768494883,2,3490101922,502,2199523:567415:568910,20260115,11:30:00,S00292,Barrie Street (north side of Brock),68.99456185787683,2,2,1,1768494882,44.23189163208008,-76.4906005859375,8.329999923706055,282.8999938964844,824155.0
1768494883,3,3490101827,,,,,,,,,2,,1768491524,,,,,
1768494883,4,3490102403,,,,,,,,,2,,1768494878,44.257144927978516,-76.54183197021484,5.0,73.5,338154.0
1768494883,5,3490101361,31,2181049:566837:568933,20260115,11:30:00,S00505,Polson Park School (north side of Robert Wallace),162.01651723169482,5,2,1,1768494873,44.23478317260742,-76.52751922607422,4.159999847412109,287.3999938964844,911068.0
1768494883,6,3490102402,,,,,,,,,2,,1768494834,44.261436462402344,-76.50695037841797,0.0,,62.0
1768494883,7,3490101368,802,2182133:565654:568913,20260115,11:30:00,S00230,Joseph Street (east side of Montreal),291.5548584246064,4,2,1,1768494879,44.2430534362793,-76.48783874511719,10.270000457763672,1.0,195002.0
1768494883,8,3490102107,,,,,,,,,2,,1768494844,44.261558532714844,-76.5071029663086,0.0,,82705.0
1768494883,9,3490100017,,,,,,,,,2,,1768493601,44.23994827270508,-76.52589416503906,0.0,,0.0
1768494883,10,3490100018,,,,,,,,,2,,1768493714,44.26142501831055,-76.5069580078125,0.0,,0.0
1768494883,11,3490100054,,,,,,,,,2,,1768494860,44.23643112182617,-76.51411437988281,13.470000267028809,175.3000030517578,0.0
1768494883,12,3490101811,15,2181593:564279:568958,20260115,11:00:00,S00091,Downing Street (south side of Hudson),107.02408717665725,43,2,1,1768494873,44.24861145019531,-76.59837341308594,9.720000267028809,83.9000015258789,5796901.0
1768494883,13,3490102103,1,2181367:564288:568891,20260115,11:05:00,S00223,Hickson Avenue (east side of Montreal),7.045167709254859,28,1,1,1768494879,44.25278091430664,-76.48502349853516,0.0,,4483353.0
1768494883,14,3490101803,,,,,,,,,2,,1768493132,44.26197814941406,-76.50694274902344,0.0,,2922338.0
1768494883,15,3490100014,,,,,,,,,2,,1768494687,44.26156234741211,-76.50709533691406,0.0,,0.0
